year(date),count(date)
1802,31
1830,30
1844,31
1854,31
1856,29
1859,31
1863,31
1864,28
1866,31
1867,27
1871,31
1872,22
1873,60
1874,31
1875,31
1877,31
1878,117
1879,61
1880,91
1881,91
1885,90
1886,153
1887,31
1888,152
1889,88
1890,80
1891,61
1892,145
1893,482
1894,751
1895,797
1896,752
1897,560
1898,577
1899,654
1900,825
1901,562
1902,960
1903,888
1904,889
1905,1213
1906,899
1907,1002
1908,761
1909,1058
1910,885
1911,1023
1912,1075
1913,1424
1914,1140
1915,1302
1916,1732
1917,1293
1918,1288
1919,1287
1920,1269
1921,1445
1922,1191
1923,1398
1924,1192
1925,1750
1926,1364
1927,1663
1928,1768
1929,1596
1930,1543
1931,1758
1932,1444
1933,1234
1934,1499
1935,1493
1936,1436
1937,1394
1938,1469
1939,1876
1940,1632
1941,1668
1942,1695
1943,2028
1944,2794
1945,2261
1946,1966
1947,1830
1948,2284
1949,2630
1950,2674
1951,3025
1952,2954
1953,3216
1954,2740
1955,2488
1956,3123
1957,3093
1958,3013
1959,3665
1960,2728
1961,2945
1962,3073
1963,3693
1964,3044
1965,4130
1966,4041
1967,3764
1968,3879
1969,4823
1970,4134
1971,4462
1972,4099
1973,4387
1974,4313
1975,3589
1976,4793
1977,4049
1978,4049
1979,4620
1980,4146
1981,3731
1982,4327
1983,3682
1984,3978
1985,3241
1986,4093
1987,4087
1988,3591
1989,4718
1990,3754
1991,5044
1992,4453
1993,4681
1994,4165
1995,4456
1996,4155
1997,3961
1998,4133
1999,4413
2000,4637
2001,4299
2002,4494
2003,5623
2004,4772
2005,4759
2006,4959
2007,4868
2008,4465
2009,5197
2010,4776
2011,4811
2012,5952
2013,4555
2014,4575
2015,4252
2016,4220
2017,4416
